Bond name	ISIN	Nominal	Income	Last price	Duration	Best ask	Best bid	Coupon	Coupon's duration	Date of coupon	ACI	Repayment	Days to repayment	Volume	Type
ФСК ЕЭС-11	RU000A0JR3L0	1000	8,79	0	0	82,41	85,5	0,5	182	19.04.2019	0,17	16.10.2020	667	0	корп.обл.
ФСК ЕЭС-12	RU000A0JS7H8	1000	8,21	0	121	100	0	40,39	182	19.04.2019	13,54	19.04.2019	121	0	корп.обл.
ФСК ЕЭС-13	RU000A0JRL96	1000	7,01	0	811	99,25	101,18	42,38	182	25.12.2018	40,99	22.06.2021	916	0	корп.обл.
ФСК ЕЭС-15	RU000A0JRUS9	1000										12.10.2023	1758		
ФСК ЕЭС-18	RU000A0JRZK5	1000	8,66	0	0	91,02	111,1	42,38	182	03.06.2019	3,73	27.11.2023	1804	0	корп.обл.
ФСК ЕЭС-19	RU000A0JRMX6	1000										06.07.2023	1660		
ФСК ЕЭС-21	RU000A0JT7T2	1000	8,27	0	0	91,01	95	36,9	182	17.04.2019	12,77	06.10.2027	3213	0	корп.обл.
ФСК ЕЭС-22	RU000A0JSQ58	1000	59,59	95,19	42	95,19	95	23,93	182	30.01.2019	18,41	21.07.2027	3136	5711	корп.обл.
ФСК ЕЭС-23	RU000A0JTYJ6	1000	0	0	0	65	0	11,22	91	04.03.2019	1,97	27.04.2048	10722	0	корп.обл.
ФСК ЕЭС-24	RU000A0JTKA4	1000	8,15	0	373	99,27	99,8	39,89	182	18.01.2019	33,32	07.01.2028	3306	0	корп.обл.
ФСК ЕЭС-25	RU000A0JT2K2	1000	7,78	0	278	99,5	100,6	44,88	182	26.03.2019	20,96	14.09.2027	3191	0	корп.обл.
ФСК ЕЭС-26	RU000A0JU2K9	1000	0	0	0	65,01	0	10,97	91	05.02.2019	5,18	30.06.2048	10786	0	корп.обл.
ФСК ЕЭС-27	RU000A0JU2L7	1000	0	0	0	73,12	0	10,97	91	05.02.2019	5,18	30.06.2048	10786	0	корп.обл.
ФСК ЕЭС-28	RU000A0JTYK4	1000	0	0	0	73,12	0	11,22	91	04.03.2019	1,97	27.04.2048	10722	0	корп.обл.
ФСК ЕЭС-29	RU000A0JU7S1	1000	0	0	0	73,12	0	10,97	91	14.01.2019	7,84	07.09.2048	10855	0	корп.обл.
ФСК ЕЭС-30	RU000A0JUC92	1000	0	0	0	73,12	0	11,22	91	08.03.2019	1,48	30.10.2048	10908	0	корп.обл.
ФСК ЕЭС-34	RU000A0JUCA9	1000	0	0	0	73,12	0	11,22	91	08.03.2019	1,48	30.10.2048	10908	0	корп.обл.
ФСК ЕЭС-37	RU000A0JVCB5	1000	0	0	0	73,12	0	10,97	91	30.01.2019	5,91	23.03.2050	11417	0	корп.обл.
ФСК ЕЭС-38	RU000A0JVDD9	1000	0	0	0	73,12	0	10,97	91	30.01.2019	5,91	23.03.2050	11417	0	корп.обл.
ФинАвиа 01	RU000A0JVZF7	1000	81,71	30,29	683	31	29,5	45,37	184	31.01.2019	34,77	31.07.2022	1320	381818	корп.обл.
ФинАвиа 02	RU000A0JVZG5	1000	0	6,5	2127	6,66	6,44	0,05	184	31.01.2019	0	31.07.2027	3146	145890	корп.обл.
ФинИнв 01	RU000A0JVXW7	1000										09.11.2018	-40		
ФинСтанд01	RU000A0JS8R5	1000	0	0	0	0	0	208,96	728	22.05.2020	368,4346	22.05.2020	520	0	корп.обл.
