Bond name	ISIN	Nominal	Income	Last price	Duration	Best ask	Best bid	Coupon	Coupon's duration	Date of coupon	ACI	Repayment	Days to repayment	Volume	Type
ДерПлат1P3	RU000A0ZZS73	1000	10,17	0	0	65	0	53,97	197	23.05.2019	11,51	18.05.2023	1611	0	бирж.обл.
ТрансмхПБ2	RU000A0ZZRZ9	1000	9,35	100	933	100,18	99,9	45,62	182	03.05.2019	11,78	29.10.2021	1045	75836938	бирж.обл.
РЖД 1Р-09R	RU000A0ZZRY2	1000	1,04	0	310	105,75	106	39,89	182	03.05.2019	10,3	14.10.2033	5413	0	бирж.обл.
СберБ Б35R	RU000A0ZZRU0	1000	0	0	1083	89	93	0,31	1116	06.12.2021	0	06.12.2021	1083	0	бирж.обл.
ЕАБР 1Р-02	RU000A0ZZRR6	1000	9,09	100	796	100	100	44,38	182	10.05.2019	9,75	07.05.2021	870	1083000	бирж.обл.
ФПК 1P-04	RU000A0ZZRK1	1000	9,1	99,99	1460	99,99	99,99	44,38	182	01.05.2019	11,95	18.10.2028	3591	9999	бирж.обл.
ГПБ002P-02	RU000A0ZZRC8	1000	0	0	0	92,61	100	0,1	365	30.10.2019	0	30.10.2019	315	0	бирж.обл.
АЛЬФА-Б2Р2	RU000A0ZZRB0	1000	9,1	100,1	937	100,2	100,05	44,87	183	01.05.2019	12,26	01.11.2021	1048	6720506	бирж.обл.
ДрктЛиз1P3	RU000A0ZZR90	1000	14,77	99,95	861	99,99	99,95	34,9	91	29.01.2019	19,18	26.10.2021	1042	7157244	бирж.обл.
КонцесТ 03	RU000A0ZZR58	1000	0	0	0	0	0	105	365	30.10.2019	14,38	31.01.2033	5157	0	корп.обл.
ЛипецкОб10	RU000A0ZZR33	1000	0	0	0	100	0	21,37	91	29.01.2019	11,74	21.10.2025	2498	0	суб.РФ
БанкГПБ1Р1	RU000A0ZZQU2	1000	0	0	0	90	0	44,63	182	26.04.2019	13,24	26.10.2023	1772	0	бирж.обл.
ХабарКрай7	RU000A0ZZQQ0	1000	8,94	101,5	1608	101,5	101,5	22,44	91	25.01.2019	13,32	24.10.2025	2501	36540	суб.РФ
ФСК ЕЭС1Р1	RU000A0ZZQN7	1000	9,05	99,75	1440	100	99,75	21,69	91	24.01.2019	13,11	19.10.2023	1765	26445003	бирж.обл.
СберБ Б31R	RU000A0ZZQK3	1000	0	0	1408	92,7	0	0,4	1458	27.10.2022	0	27.10.2022	1408	0	бирж.обл.
СвердлОбл5	RU000A0ZZQH9	1000	9,04	99,75	1241	99,75	99,75	35,91	151	25.03.2019	13,08	23.10.2026	2865	26933	суб.РФ
СветофорП1	RU000A0ZZQ59	1000	13,93	103,7	285	103,7	102,72	44,88	91	22.01.2019	28,11	20.10.2020	671	106713	бирж.обл.
СберБ Б33R	RU000A0ZZQ18	1000	0	0	0	94,5	0	47,6	1287	28.04.2022	0	28.04.2022	1226	0	бирж.обл.
РСХБ БО-6Р	RU000A0ZZPZ3	1000	9,26	99,8	1194	100	99,8	44,88	182	19.04.2019	15,04	14.10.2022	1395	7860150	бирж.обл.
Автодор1Р3	RU000A0ZZPY6	1000	7,88	100,39	297	100,39	100,01	41,14	182	19.04.2019	13,79	19.10.2019	304	21006	бирж.обл.
СберБ Б30R	RU000A0ZZPE8	1000	0	89,4	1219	92,82	89,18	0,35	1274	21.04.2022	0	21.04.2022	1219	49243	бирж.обл.
Новосиб 19	RU000A0ZZPB4	1000	8,63	0	1074	97,68	100,59	22,54	96	20.01.2019	15,03	15.10.2023	1761	0	суб.РФ
Томсккаб02	RU000A0ZZC22	1000	9,83	0	0	0	0	23,68	91	03.01.2019	19,78	29.06.2023	1653	0	корп.обл.
ТКК кл. А4	RU000A0ZYGG5	1000	0	0	0	0	0	97	365	12.12.2019	1,86	31.12.2033	5491	0	корп.обл.
СберБ Б27R	RU000A0ZZP35	1000	0	0	0	95,2	0	47,64	1288	18.04.2022	0	18.04.2022	1216	0	бирж.обл.
СберБ Б29R	RU000A0ZZP27	1000	0	90,75	1058	92,8	90,75	0,31	1115	11.11.2021	0	11.11.2021	1058	908	бирж.обл.
СберБ Б24R	RU000A0ZZP19	1000	0	0	0	96,8	0	0,35	1288	18.04.2022	0	18.04.2022	1216	0	бирж.обл.
ИА ДОМ 4P2	RU000A0ZZNW5	1000	0	0	0	98,1	100	18,42	81	28.12.2018	16,37	28.09.2047	10510	0	корп.обл.
ЛегионБО-1	RU000A0ZZNV7	1000	11,99	0	280	101,3	101,74	69,81	182	08.04.2019	27,62	04.10.2021	1020	0	бирж.обл.
КОБР-13	RU000A0ZZKN0	1000										12.12.2018	-7		
КОБР-12	RU000A0ZZFG4	1000										14.11.2018	-35		
КОБР-11	RU000A0ZZCN7	1000										17.10.2018	-63		
BCS 10/21	XS1873963794	100000	0	0	0	96,5	99,9	8500	209	01.04.2019	0	01.10.2021	1017	0	корп.обл.
BCS3108/21	XS1859436401	100000	0	0	0	60,99	0	0	365	31.08.2019	0	31.08.2021	986	0	корп.обл.
BCS 08/21	XS1859436070	100000	0	99,99	0	101	99,99	8500	206	10.02.2019	0	10.08.2021	965	200990	корп.обл.
BCS 07/21	XS1833629253	100000	0	97,9	0	99,01	97,9	8500	207	01.01.2019	0	01.07.2021	925	491940	корп.обл.
BCS 09/23	XS1822383094	100000	0	100,4	0	100,4	100,4	4958,9	181	27.03.2019	0	27.09.2023	1743	8734800	корп.обл.
BCS 4/21	XS1807420937	100000	0	0	0	86,5	97,9	0	376	30.04.2019	0	30.04.2021	863	0	корп.обл.
ИнвтстрБО1	RU000A0ZZNM6	1000	10,08	0	0	0	0	31,16	91	02.01.2019	26,37	20.09.2028	3563	0	бирж.обл.
ДерПлат1P2	RU000A0ZZNL8	1000	10,07	0	0	99,9	100	63,56	232	23.05.2019	21,1	18.05.2023	1611	0	бирж.обл.
Якут-11 об	RU000A0ZZNJ2	1000	9,25	100	1413	100	100	37,27	152	04.03.2019	18,88	24.09.2025	2471	1000000	суб.РФ
СолЛизБО02	RU000A0ZZMQ9	1000	13,57	0	262	98,8	100,05	32,41	91	25.12.2018	30,27	19.09.2023	1735	0	бирж.обл.
ВЭБ1P-K096	RU000A0ZZMC9	1000										19.10.2018	-61		
СберБ Б23R	RU000A0ZZMB1	1000	0	88,5	1191	88,5	87,62	0,35	1274	24.03.2022	0	24.03.2022	1191	885	бирж.обл.
СберБ Б18R	RU000A0ZZMA3	1000	0	0	0	94,2	0	47,6	1287	31.03.2022	0	31.03.2022	1198	0	бирж.обл.
КрасЯрКр16	RU000A0ZZM87	1000	8,92	0	1317	98,5	99,5	43,38	182	22.03.2019	21,21	12.09.2025	2459	0	суб.РФ
ВЭБ1P-K095	RU000A0ZZLK4	1000										12.10.2018	-68		
СберБ Б22R	RU000A0ZZL54	1000	0	93,7	1030	95,57	92,22	0,31	1115	14.10.2021	0	14.10.2021	1030	94637	бирж.обл.
МетИнвБ Б3	RU000A0ZZL05	1000	0	0	0	0	0	37,4	182	11.03.2019	20,55	04.09.2023	1720	0	бирж.обл.
ВЭБ1P-K094	RU000A0ZZKZ4	1000										05.10.2018	-75		
ДиалексП01	RU000A0ZZKW1	4000000	0	0	0	0	0	256438,36	180	05.03.2019	148164,38	21.08.2021	976	0	бирж.обл.
ВЭБ1P-K093	RU000A0ZZKV3	1000										25.10.2018	-55		
СберБ Б21R	RU000A0ZZKS9	1000	0	0	0	92,8	0	0,35	1287	15.03.2022	0	15.03.2022	1182	0	бирж.обл.
СберБ Б25R	RU000A0ZZKR1	1000	0	0	0	94,9	0	47,6	1287	15.03.2022	0	15.03.2022	1182	0	бирж.обл.
ЦентрИБ1Р5	RU000A0ZZKP5	1000	10,01	0	0	0	0	41,14	182	07.03.2019	23,51	03.03.2022	1170	0	бирж.обл.
ГарИнв1P04	RU000A0ZZJZ6	1000	12,33	0	557	80	100,05	59,84	182	27.02.2019	36,82	26.08.2020	616	0	бирж.обл.
СберБ Б20R	RU000A0ZZHD7	1000	0	0	1350	92,1	95	0,4	1461	30.08.2022	0	30.08.2022	1350	0	бирж.обл.
ВТБ Б-1-8	RU000A0ZZH84	1000	8,74	98,89	884	99,46	98	19,95	91	19.02.2019	6,36	24.08.2021	979	4220828	бирж.обл.
МясничБОП2	RU000A0ZZGZ2	1000	14,26	100,2	764	100,85	100,01	11,1	30	17.01.2019	0,37	04.08.2021	959	928124	бирж.обл.
РЖД 1Р-08R	RU000A0ZZGT5	1000	0,19	0	232	104,75	105,3	39,84	182	14.02.2019	27,36	03.08.2028	3515	0	бирж.обл.
ФолксвБ1P2	RU000A0ZZGE7	1000	8,74	100,08	865	104,04	100	43,12	183	14.02.2019	29,69	17.08.2021	972	138204	бирж.обл.
СУЭК-Ф1P2R	RU000A0ZZG93	1000	8,92	99	860	99	99	41,39	182	11.02.2019	29,11	09.08.2021	964	2970000	бирж.обл.
ВТБ Б-1-7	RU000A0ZZFV3	1000										09.11.2018	-40		
ПР-Лиз 1P1	RU000A0ZZFP5	1000	13,11	100,5	385	100,5	100,05	32,41	91	06.02.2019	14,96	04.08.2021	959	13030	бирж.обл.
ЦППК 1P-02	RU000A0ZZFH2	1000	9,57	101,12	839	101,15	100,81	49,12	182	05.02.2019	36,16	03.08.2021	958	4682663	бирж.обл.
СберБ Б17R	RU000A0ZZFC3	1000	0	0	1154	88,2	89,5	0,35	1274	15.02.2022	0	15.02.2022	1154	0	бирж.обл.
Альфа-Б2Р1	RU000A0ZZEW4	1000	9,33	97,2	856	99,14	97,11	39,61	183	30.01.2019	30,52	02.08.2021	957	2165902	бирж.обл.
СберБ Б19R	RU000A0ZZEU8	1000	0	0	0	88,4	0	0,31	1115	19.08.2021	0	19.08.2021	974	0	бирж.обл.
ГазпромБ23	RU000A0ZZET0	1000	9,33	95	1836	95,49	94,5	40,39	182	29.01.2019	31,29	23.06.2048	10779	33201	бирж.обл.
ГазпромБ22	RU000A0ZZES2	1000	9,49	94,3	1837	95,03	95	40,39	182	29.01.2019	31,29	23.06.2048	10779	375266	бирж.обл.
ГазпромБО7	RU000A0ZZER4	1000	0	0	0	90	0	40,39	182	29.01.2019	31,29	12.07.2033	5319	0	бирж.обл.
ЯрОбл35016	RU000A0ZZEM5	1000	11,06	99,18	102	99,2	99,13	53,15	244	31.03.2019	30,93	21.09.2025	2468	4872201	суб.РФ
СолЛизБО01	RU000A0ZZEA0	1000	13,53	100,05	208	100,05	100	32,41	91	22.01.2019	20,3	18.07.2023	1672	260002	бирж.обл.
СберБ Б15R	RU000A0ZZE38	1000	0	0	1327	87	93	40	1461	07.08.2022	0	07.08.2022	1327	0	бирж.обл.
СберБ Б16R	RU000A0ZZE20	1000	8,74	96,42	1269	98,39	96,42	37,4	182	23.01.2019	30,21	18.01.2023	1491	331707	бирж.обл.
ГПБ002P-01	RU000A0ZZE12	1000	0	0	0	99,07	0	0,05	182	21.01.2019	0	21.01.2019	33	0	бирж.обл.
ЛомМасБОП2	RU000A0ZZDQ8	1000	16,3	101,4	200	103,42	101,3	44,88	91	17.01.2019	30,58	18.07.2019	211	152038	бирж.обл.
СберББО13R	RU000A0ZZDM7	1000	0	0	0	91,4	0	0,35	1287	26.01.2022	0	26.01.2022	1134	0	бирж.обл.
ЕАБР 1Р-01	RU000A0ZZDB0	1000	9,06	98,7	378	98,7	98,7	37,9	182	22.01.2019	30,82	11.07.2028	3492	592200	бирж.обл.
СберБ Б14R	RU000A0ZZD88	1000	0	87	1125	87	87	0,35	1274	17.01.2022	0	17.01.2022	1125	870000	бирж.обл.
ЧЗПСН-П Б1	RU000A0ZZD39	1000	16,65	99,94	753	101,9	99,8	79,78	182	14.01.2019	68,38	12.07.2021	936	259750	бирж.обл.
РОССИУМ1P1	RU000A0ZZCX6	1000	0	0	0	90	0	42,98	182	10.01.2019	37,79	30.12.2027	3298	0	бирж.обл.
ЛЕГЕНДА1P1	RU000A0ZZCV0	1000	15,26	99,25	590	99,5	99,05	34,9	91	10.01.2019	26,47	08.07.2021	932	1293881	бирж.обл.
ИА ДОМ 5P2	RU000A0ZZCH9	926,78	0	0	0	97,15	100	18,69	92	28.01.2019	10,56	28.04.2043	8896	0	корп.обл.
КрасЯрКр15	RU000A0ZZC48	1000	8,85	96,85	1227	96,85	96,85	43,54	208	29.01.2019	34,96	26.06.2025	2381	279897	суб.РФ
ЕвропланБ8	RU000A0ZZBV2	1000	9,27	100,39	512	100,39	100,39	46,62	182	01.01.2019	43,29	20.06.2028	3471	100390	бирж.обл.
СберБ Б12R	RU000A0ZZBN9	1000	8,78	97,29	1001	100,07	95,47	45,39	218	06.02.2019	35,19	02.02.2022	1141	1024380	бирж.обл.
ПИК БО-П07	RU000A0ZZBJ7	1000	9,6	98,5	810	98,51	98,5	43,38	182	28.12.2018	41,24	25.06.2021	919	70920	бирж.обл.
ВТБ Б-1-6	RU000A0ZZBD0	1000	0	96,5	191	96,5	96,75	0,02	91	28.12.2018	0	28.06.2019	191	287570	бирж.обл.
ПИК БО-П06	RU000A0ZZAW2	1000	131,59	98,5	7	98,5	98,5	43,38	182	26.12.2018	41,71	23.06.2021	917	61070	бирж.обл.
ПионЛизБП1	RU000A0ZZAT8	1000	12,62	100,15	178	111	100	10,07	30	23.12.2018	8,73	31.05.2023	1624	371540	бирж.обл.
ЛомМасБОП1	RU000A0ZZAR2	1000	15,71	102	175	102,1	102	47,37	91	24.12.2018	44,77	24.06.2019	187	24497	бирж.обл.
СберБ Б09R	RU000A0ZZAJ9	1000	0	0	956	90,8	94,38	0,31	1115	01.08.2021	0	01.08.2021	956	0	бирж.обл.
МясничБОП1	RU000A0ZZAE0	1000	13,82	100,66	492	101	100,35	11,1	30	17.01.2019	0,37	10.06.2020	539	773489	бирж.обл.
РоялКапБО1	RU000A0ZZ9X2	1000	16,53	101,1	173	101,1	100,84	44,88	91	15.03.2019	2,47	12.06.2020	541	144253	бирж.обл.
УрКаПБО4P	RU000A0ZZ9W4	1000	9,87	93,08	1401	93,13	92,75	38,39	182	14.06.2019	1,05	09.06.2023	1633	21178175	бирж.обл.
РЖД 1Р-07R	RU000A0ZZ9R4	1000	9,38	92,1	1663	92,1	92,1	36,4	182	13.06.2019	1,2	26.05.2033	5272	9210	бирж.обл.
СамарОбл14	RU000A0ZZ9P8	1000	8,28	0	0	91,01	97,24	18,57	91	14.03.2019	1,22	04.06.2026	2724	0	суб.РФ
СберБ Б11R	RU000A0ZZ992	1000	0	86,3	1101	86,3	86,3	0,35	1274	24.12.2021	0	24.12.2021	1101	20712	бирж.обл.
ГТЛК 1P-10	RU000A0ZZ984	1000	8,82	96,8	3094	96,8	96,3	20,32	91	08.03.2019	2,68	20.05.2033	5266	58890	бирж.обл.
КраснодКр2	RU000A0ZZ8X4	1000	8,84	96,24	1514	96,24	95,95	19,02	91	05.03.2019	3,14	03.06.2025	2358	10558	суб.РФ
ЛадФин БО3	RU000A0ZZ8U0	1000	8,25	0	1413	96	96,45	34,9	182	03.06.2019	3,07	22.05.2028	3442	0	бирж.обл.
ЗСКБ БО-П1	RU000A0ZZ8T2	1000	7,5	0	168	98	99,99	18,4	92	07.03.2019	2,8	15.06.2021	909	0	бирж.обл.
ПЮДМ БО-П1	RU000A0ZZ8A2	50000	15,64	101,4	151	101,4	101	739,73	30	26.12.2018	567,12	04.05.2023	1597	202400	бирж.обл.
КАМАЗ БО11	RU000A0ZZ893	1000	6,19	0	160	100,75	101,5	47,47	182	28.05.2019	5,74	10.05.2033	5256	0	корп.обл.
КАМАЗ БО-9	RU000A0ZZ885	1000	6,1	101,49	160	101,49	101,49	47,47	182	28.05.2019	5,74	10.05.2033	5256	50745	корп.обл.
КАМАЗ БО10	RU000A0ZZ877	1000	5,48	0	160	100,75	101,5	47,47	182	28.05.2019	5,74	10.05.2033	5256	0	корп.обл.
СберБ Б08R	RU000A0ZZ7U2	1000	0	91	921	91	98	0,31	1115	27.06.2021	0	27.06.2021	921	91000	бирж.обл.
ДДёнерБОП1	RU000A0ZZ7R8	50000	9,74	101,9	147	102,95	100,63	575,34	30	21.12.2018	536,99	08.07.2021	932	457450	бирж.обл.
КАМАЗ БО-8	RU000A0ZZ7H9	1000	0	0	0	90	0	44,73	182	23.05.2019	6,64	05.05.2033	5251	0	корп.обл.
КАМАЗ БО-7	RU000A0ZZ7G1	1000	0	0	0	90	0	44,73	182	23.05.2019	6,64	05.05.2033	5251	0	корп.обл.
Якут-10 об	RU000A0ZZ7E6	1000	8,33	0	1390	94	97,59	18,82	91	21.02.2019	5,58	15.05.2025	2339	0	суб.РФ
ДОМ 1P-4R	RU000A0ZZ7C0	1000	8,2	99,5	182	99,5	99,5	34,9	182	19.06.2019	0	10.05.2028	3430	6965	бирж.обл.
ВТБ Б-1-5	RU000A0ZZ6Q2	1000	0	96,22	149	96,3	94,38	0,02	91	15.02.2019	0	17.05.2019	149	700719	бирж.обл.
ИАМетинв-2	RU000A0ZZ6K5	852,52	7,96	0	0	98,1	100,05	16,58	91	28.12.2018	14,94	28.03.2046	9961	0	корп.обл.
РедСофт1P1	RU000A0ZZ695	1000	14,65	100,1	465	100,2	100,05	34,9	91	11.02.2019	14,19	11.05.2020	509	113135	бирж.обл.
СберБ Б10R	RU000A0ZZ5U6	1000	0	0	1066	85,8	90	0,35	1274	19.11.2021	0	19.11.2021	1066	0	бирж.обл.
ПочтаРБ1P5	RU000A0ZZ5J9	1000	9,17	95,48	1366	95,98	95,48	38,39	182	06.05.2019	9,28	24.04.2028	3414	2870	бирж.обл.
ПочтаРБ1P4	RU000A0ZZ5H3	1000	9,16	95,5	1365	95,5	95,5	38,39	182	06.05.2019	9,28	24.04.2028	3414	19100	бирж.обл.
УРАЛСИБ П1	RU000A0ZZ5A8	1000	2,24	0	0	58,86	0	0,02	91	31.01.2019	0,01	05.05.2020	503	0	бирж.обл.
Пионер 1P3	RU000A0ZZ547	1000	12,37	100,2	454	100,2	100	29,92	91	25.01.2019	17,75	23.04.2021	856	353509	бирж.обл.
РСХБ 09Т1	RU000A0ZZ505	1000	11,61	86,98	2251	88	85	44,88	182	25.04.2019	13,56	19.12.2018	0	10490371	корп.обл.
Томсккаб01	RU000A0ZZ4Z8	1000	9,83	0	0	0	0	23,68	91	21.02.2019	7,03	18.05.2023	1611	0	корп.обл.
РСХБ 01Т1	RU000A0ZZ4T1	1000	12,01	85,04	2245	87,29	84,95	44,88	182	24.04.2019	13,81	19.12.2018	0	5823401	корп.обл.
РЖД 1Р-06R	RU000A0ZZ4P9	1000	8,88	0	0	90,01	99,99	36,15	182	22.04.2019	11,52	04.04.2033	5220	0	бирж.обл.
СберБ БО6R	RU000A0ZZ117	1000	8,82	94,82	1395	96,81	92,42	35,9	182	24.05.2019	5,13	19.05.2023	1612	862000	бирж.обл.
Инвтстр 01	RU000A0ZYPB7	1000	12,96	0	0	0	0	31,16	91	24.01.2019	18,84	19.01.2023	1492	0	корп.обл.
Кокс БО-05	RU000A0JVDF4	1000	0	0	0	65	0	45,87	182	20.02.2019	29,99	16.08.2023	1701	0	бирж.обл.
ОФЗ 52002	RU000A0ZYZ26	1026,17	3,42	93,05	2957	93,497	93,05	12,8	182	13.02.2019	8,93	02.02.2028	3332	4094527	РФ
ОФЗ 26225	RU000A0ZYUB7	1000	8,83	88,267	3311	89,102	87,092	36,15	182	29.05.2019	4,37	10.05.2034	5621	110628300	РФ
ОФЗ 26224	RU000A0ZYUA9	1000	8,89	87,822	2688	88,148	87,7	34,41	182	05.06.2019	2,84	23.05.2029	3808	9967075	РФ
ОФЗ 26223	RU000A0ZYU88	1000	8,64	91,862	1596	93	91,662	32,41	182	06.03.2019	18,88	28.02.2024	1897	57570764	РФ
КОБР-8	RU000A0ZZ2L2	1000										18.07.2018	-154		
КОБР-7	RU000A0ZYXE5	1000										13.06.2018	-189		
СберБ БО7R	RU000A0ZZ3U1	1000	0	0	879	90,6	91,69	0,31	1115	16.05.2021	0	16.05.2021	879	0	бирж.обл.
ВЭБ1P-K029	RU000A0ZZ364	1000										11.05.2018	-222		
ТрнфБО1P10	RU000A0ZZ349	1000	8,71	96,25	934	97,92	96	34,9	182	12.04.2019	13,04	08.10.2021	1024	211213	бирж.обл.
ВЭБ1P-K044	RU000A0ZZ315	1000										25.06.2018	-177		
ВЭБ1P-K033	RU000A0ZZ307	1000										24.05.2018	-209		
УпрОтходБ2	RU000A0ZZ2W9	1000	0	0	0	0	0	157,64	548	12.10.2019	72,21	09.10.2030	4312	0	бирж.обл.
АПРИФП БО1	RU000A0ZZ2V1	1000	27,24	98	109	99,99	97,5	44,88	91	10.01.2019	34,03	11.04.2019	113	702238	бирж.обл.
ЦентрИБ1Р4	RU000A0ZZ2U3	1000	8,5	0	0	65	100,1	20,57	91	10.01.2019	15,6	07.10.2021	1023	0	бирж.обл.
ВЭБ1P-K028	RU000A0ZZ2Q1	1000										25.04.2018	-238		
ДелПорт1P2	RU000A0ZZ2A5	1000	0	0	0	0	0	33,66	182	09.04.2019	876,37	01.04.2025	2295	0	бирж.обл.
МРСКЦенБО6	RU000A0ZZ1Y7	1000	7,06	0	0	90	96,65	34,65	182	09.04.2019	13,52	28.03.2028	3387	0	бирж.обл.
ДОМ 1P-3R	RU000A0ZZ1N0	1000	8,63	99,5	107	99,5	99,5	33,66	182	05.04.2019	13,87	24.03.2028	3383	128355	бирж.обл.
ПИК БО-П04	RU000A0ZZ1M2	1000	0	0	0	90	0	39,89	182	05.04.2019	16,44	24.03.2028	3383	0	бирж.обл.
ВЭБ1P-K032	RU000A0ZZ1L4	1000										18.05.2018	-215		
ГТЛК 1P-09	RU000A0ZZ1J8	1000	9,93	90,19	1684	90,19	89,5	18,32	91	04.01.2019	15,1	18.03.2033	5203	225477	бирж.обл.
ОГК-2 1P3R	RU000A0ZZ1H2	1000	8,9	96,4	775	96,4	94,96	34,65	182	05.04.2019	14,28	31.03.2023	1563	1291936	бирж.обл.
ВЭБ1P-K027	RU000A0ZZ1G4	1000										26.04.2018	-237		
КарМаниБ2	RU000A0ZZ1F6	1000	17,33	99,86	585	99,9	99,01	13,59	31	10.01.2019	3,95	10.05.2023	1603	972387	бирж.обл.
ВЭБ1P-K026	RU000A0ZZ1C3	1000										18.04.2018	-245		
УАХМФИН1P3	RU000A0ZZ158	1056,99	0	0	0	0	0	32,3	364	02.04.2019	22,59	30.03.2021	832	0	бирж.обл.
УАХМФИН1P2	RU000A0ZZ141	1049,86	0	0	1422	75	100,02	42,68	364	02.04.2019	29,91	28.03.2023	1560	0	бирж.обл.
СберБ БО5R	RU000A0ZZ0Z6	1000	0	0	1024	88	99,93	0,35	1274	08.10.2021	0	08.10.2021	1024	0	бирж.обл.
ГрузЦ БОП1	RU000A0ZZ0R3	50000	9,88	102,01	97	102,5	102,01	698,63	30	28.12.2018	489,04	22.03.2020	459	255375	бирж.обл.
4фин БО-01	RU000A0ZZ0Q5	1000	0	0	0	98	0	74,79	182	29.03.2019	33,7	24.03.2023	1556	0	бирж.обл.
ВЭБ1P-K025	RU000A0ZZ0P7	1000										27.04.2018	-236		
ЭлемЛиз1P1	RU000A0ZZ0L6	834	11,21	99,82	383	100,09	99,7	22,04	91	28.12.2018	19,86	26.03.2021	828	677860	бирж.обл.
ВЭБ1P-K024	RU000A0ZZ0K8	1000										19.04.2018	-244		
ДрктЛиз1P2	RU000A0ZZ0D3	1000	15,17	97,38	706	97,49	96,52	32,41	91	27.12.2018	29,56	25.03.2021	827	238981	бирж.обл.
ИКС5Фин1P3	RU000A0ZZ083	1000	8,6	98,25	443	98,95	98,25	34,65	182	26.03.2019	16,18	08.03.2033	5193	10016711	бирж.обл.
СТНТ БО-01	RU000A0ZYZS0	1000										20.03.2023	1552		
ВЭБ1P-K022	RU000A0ZYZQ4	1000										20.04.2018	-243		
RUS-29	RU000A0ZYYN4	200000										21.03.2029	3745		
Ростел1P4R	RU000A0ZYYE3	1000	9,02	0	1579	91,64	93,07	35,65	182	15.03.2019	18,81	03.03.2028	3362	0	бирж.обл.
Газпнф1P6R	RU000A0ZYXV9	1000	9,23	92,5	1576	91,53	92	35,9	182	14.03.2019	19,13	07.03.2024	1905	925	бирж.обл.
СМСФИН БО1	RU000A0ZYXM8	1000	0	0	0	0	0	74,79	182	13.03.2019	40,27	08.03.2023	1540	0	бирж.обл.
РСХБ БО-5Р	RU000A0ZYXJ4	1000	9,36	95,2	1044	97,66	93,59	36,9	182	13.03.2019	19,87	09.03.2022	1176	2145302	бирж.обл.
ФПК 1P-03	RU000A0ZYX69	1000	9,4	91,3	1685	92	90,9	35,9	182	06.03.2019	20,71	23.02.2028	3353	3143391	бирж.обл.
Совком 1В2	RU000A0ZYX28	100	0	0	0	0	0	4,36	182	06.03.2019	168,2	19.12.2018	0	0	корп.обл.
Совком 2В3	RU000A0ZYWZ2	100	0	0	0	0	0	4,11	182	06.03.2019	158,19	21.02.2029	3717	0	корп.обл.
МТС 1P-06	RU000A0ZYWY5	1000	9,43	90,86	1798	90,86	90,4	36,15	182	06.03.2019	20,86	26.02.2025	2261	45452112	бирж.обл.
МТС 1P-05	RU000A0ZYWX7	1000	8,55	96,95	896	96,95	96,5	35,4	182	06.03.2019	20,42	01.09.2021	987	75834850	бирж.обл.
Система1P8	RU000A0ZYWU3	1000	8,82	0	251	100,03	100,37	46,12	182	06.03.2019	26,61	23.02.2028	3353	0	бирж.обл.
АЛЬФА БО39	RU000A0ZYWB3	1000	8,43	97,8	897	97,8	95,2	36,85	183	07.03.2019	21,14	17.03.2033	5202	37332	бирж.обл.
ИнфВотч1P1	RU000A0ZYW94	1000	15,25	100	75	111	99,98	36,15	91	04.03.2019	6,36	04.03.2020	441	16505712	бирж.обл.
ДОК-15 БО1	RU000A0ZYVY7	1000	14,63	100,04	1931	100,04	100,04	34,65	91	04.03.2019	6,09	21.02.2028	3351	1000	бирж.обл.
Роснфт2P5	RU000A0ZYVU5	1000	9,49	92	1558	93,19	92	36,4	182	01.03.2019	22	18.02.2028	3348	274003	бирж.обл.
ГазпромКБ4	RU000A0ZYV04	1000	9,41	90,5	1798	90,5	90,5	35,65	182	26.02.2019	22,14	15.02.2028	3345	9050000	бирж.обл.
ГазпромКБ3	RU000A0ZYUY9	1000	9,41	90,5	1794	90,5	90,5	35,65	182	26.02.2019	22,14	15.02.2028	3345	2738530	бирж.обл.
ГазпромКБ2	RU000A0ZYUW3	1000	8,96	0	1787	86,1	91	35,65	182	26.02.2019	22,14	15.02.2028	3345	0	бирж.обл.
ГазпромКБ1	RU000A0ZYUV5	1000	9,41	90,5	1794	90,5	90,5	35,65	182	26.02.2019	22,14	15.02.2028	3345	31674095	бирж.обл.
ТрнфБО1P9	RU000A0ZYUS1	1000	8,64	96,4	1032	98,43	95,45	35,65	182	25.02.2019	22,33	21.02.2022	1160	1061289	бирж.обл.
СберБ БО4R	RU000A0ZYUJ0	1000	8,69	96,2	893	98,22	96	34,41	182	01.03.2019	20,79	27.08.2021	982	9795293	бирж.обл.
ДерПлат1P1	RU000A0ZYU54	1000	10,7	0	63	99,9	100	49,86	182	20.02.2019	32,6	15.02.2023	1519	0	бирж.обл.
ЛидерИнБП2	RU000A0ZYU39	1000	10,98	101,86	697	101,87	101,75	58,34	182	20.02.2019	38,15	15.02.2023	1519	57007	бирж.обл.
АЛЬФА БО40	RU000A0ZYU21	1000	9,02	97,1	733	97,1	97,1	36,85	183	22.02.2019	23,76	04.03.2033	5189	6797	бирж.обл.
РЖД 1Р-05R	RU000A0ZYU05	1000	9,45	90	1992	90,74	89,75	36,4	182	19.02.2019	24	01.02.2033	5158	42268714	бирж.обл.
НПК ПБО-01	RU000A0ZYTZ8	1000	8,63	96,5	1090	96,5	96,15	36,15	182	19.02.2019	23,84	14.02.2023	1518	4751	бирж.обл.
